name|Бузька територіальна громада
region|Миколаївська область
id|id299
link|http://decentralization.gov.ua/region/common/id/1198
0|1|2|3
село|Громади|Бюджети|Водопостачання
Бузьке|Бузька територіальна громада||
Таборівка|Бузька територіальна громада||
