name|Борсуківська територіальна громада
region|Тернопільська область
id|id389
link|http://decentralization.gov.ua/region/common/id/1302
0|1|2|3
село|Громади|Бюджети|Водопостачання
Борсуки|Борсуківська територіальна громада||
Борщівка|Борсуківська територіальна громада||
Великі Кусківці|Борсуківська територіальна громада||
Нападівка|Борсуківська територіальна громада||
Передмірка|Борсуківська територіальна громада||
Синівці|Борсуківська територіальна громада||
