name|Якушинецька територіальна громада
region|Вінницька область
id|id124
link|http://decentralization.gov.ua/region/common/id/268
0|1|2|3
село|Громади|Бюджети|Водопостачання
Березина|Якушинецька територіальна громада||
Зарванці|Якушинецька територіальна громада||
Ксаверівка|Якушинецька територіальна громада||
Лисогора|Якушинецька територіальна громада||
Майдан|Якушинецька територіальна громада||
Слобода-Дашковецька|Якушинецька територіальна громада||
Якушинці|Якушинецька територіальна громада||
