name|Довбиська територіальна громада
region|Житомирська область
id|id244
link|http://decentralization.gov.ua/region/common/id/683
0|1|2|3
смт|Громади|Бюджети|Водопостачання
Довбиш|Довбиська територіальна громада||
Мар’янівка|Довбиська територіальна громада||
