name|Космацька територіальна громада
region|Івано-Франківська область
id|id212
link|http://decentralization.gov.ua/region/common/id/1034
0|1|2|3
село|Громади|Бюджети|Водопостачання
Брустурів|Космацька територіальна громада||
Космач|Космацька територіальна громада||
Прокурава|Космацька територіальна громада||
