name|Соледарська територіальна громада
region|Донецька область
id|id231
link|http://decentralization.gov.ua/region/common/id/161
0|1|2
№  з/п|Найменування показника|Значення  показника
1.|Чисельність населення станом на 1 січня 2015 р.|22541
|у тому числі дітей:|
|дошкільного віку|516
|шкільного віку|906
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|37
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|37621298
|у тому числі:|
|сформованих відповідно до статті 64 Бюджетного кодексу України|45654070
|бюджету розвитку|0
|базової дотації|0
|реверсної дотації|8032772
4.|Площа території спроможної територіальної громади, кв. кілометрів|14.108
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|
|у тому числі:|
|загальноосвітніх навчальних закладів І-ІІІ ступеня|2
|загальноосвітніх навчальних закладів І-ІІ ступеня|0
|загальноосвітніх навчальних закладів І ступеня|1
|дошкільних навчальних закладів|3
|закладів позашкільної освіти|2
|закладів культури|3
|закладів фізичної культури|1
|фельдшерсько-акушерських пунктів|0
|амбулаторій, поліклінік|1
|лікарень|1
|станцій швидкої допомоги|1
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|
|правоохоронної діяльності|
|реєстрації актів цивільного стану та майнових прав|є
|пенсійного забезпечення|Немає
|соціального захисту|Є
|пожежної безпеки|є
|казначейського обслуговування|Немає
7.|Наявність приміщень для розміщення органів місцевого самоврядування|є
