name|Шпиківська територіальна громада
region|Вінницька область
id|id123
link|http://decentralization.gov.ua/region/common/id/336
0|1|2|3
смт|Громади|Бюджети|Водопостачання
Шпиків|Шпиківська територіальна громада||
