name|Яськівська територіальна громада
region|Одеська область
id|id328
link|http://decentralization.gov.ua/region/common/id/1359
0|1|2|3
село|Громади|Бюджети|Водопостачання
Троїцьке|Яськівська територіальна громада||
Яськи|Яськівська територіальна громада||
