name|Трибухівська територіальна громада
region|Тернопільська область
id|id419
link|http://decentralization.gov.ua/region/common/id/1308
0|1|2|3
село|Громади|Бюджети|Водопостачання
Пишківці|Трибухівська територіальна громада||
Трибухівці|Трибухівська територіальна громада||
