name|Судововишнянська територіальна громада
region|Львівська область
id|id292
link|http://decentralization.gov.ua/region/common/id/1094
0|1|2|3
місто|Громади|Бюджети|Водопостачання
Судова Вишня|Судововишнянська територіальна громада||
