name|Біляївська  територіальна громада
region|Одеська область
id|id318
link|http://decentralization.gov.ua/region/common/id/5
0|1|2
№ з/п|Найменування показника|Значення показника
1.|Чисельність населення станом на 1 січня 2015 р.*|13639
|у тому числі дітей:|3205
|дошкільного віку|1351
|шкільного віку|1854
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|3
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, тисяч гривень|25 933,2
|у тому числі:|
|сформованих відповідно до статті 64 Бюджетного кодексу України|28 047,9
|бюджету розвитку|00
|базової дотації|00
|реверсної дотації|2 114,7
4.|Площа території спроможної територіальної громади, кв. кілометрів|1930
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування|20
|у тому числі:|
|загальноосвітніх навчальних закладів I—III ступеня|4
|загальноосвітніх навчальних закладів I—II ступеня|-
|загальноосвітніх навчальних закладів I ступеня|-
|дошкільних навчальних закладів|3
|закладів позашкільної освіти|1
|закладів культури|7
|закладів фізичної культури|1
|фельдшерсько-акушерських пунктів|2
|амбулаторій, поліклінік|-
|лікарень|1
|станцій швидкої допомоги|1
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|
|правоохоронної діяльності|є
|реєстрації актів цивільного стану та майнових прав|є
|пенсійного забезпечення|є
|соціального захисту|є
|пожежної безпеки|є
|казначейського обслуговування|є
7.|Наявність приміщень для розміщення органів місцевого самоврядування|є
