name|Роздорська територіальна громада
region|Дніпропетровська область
id|id170
link|http://decentralization.gov.ua/region/common/id/999
0|1|2|3
смт|Громади|Бюджети|Водопостачання
Роздори|Роздорська територіальна громада||
