name|Селищенська територіальна громада
region|Черкаська область
id|id472
link|http://decentralization.gov.ua/region/common/id/532
0|1|2|3
село|Громади|Бюджети|Водопостачання
Гута-Селицька|Селищенська територіальна громада||
Селище|Селищенська територіальна громада||
Сухини|Селищенська територіальна громада||
Тараща|Селищенська територіальна громада||
