name|Великокопанівська територіальна громада
region|Херсонська область
id|id428
link|http://decentralization.gov.ua/region/common/id/937
0|1|2|3
село|Громади|Бюджети|Водопостачання
Великі Копані|Великокопанівська територіальна громада||
Добросілля|Великокопанівська територіальна громада||
