name|Гладківська територіальна громада
region|Херсонська область
id|id430
link|http://decentralization.gov.ua/region/common/id/1310
0|1|2|3
село|Громади|Бюджети|Водопостачання
Великий Клин|Гладківська територіальна громада||
Гладківка|Гладківська територіальна громада||
Рідна Україна|Гладківська територіальна громада||
Таврійське|Гладківська територіальна громада||
