name|Берездівська територіальна громада
region|Хмельницька область
id|id441
link|http://decentralization.gov.ua/region/common/id/562
0|1|2
|Найменування показника|Значення показника
1.|Чисельність населення станом на 1 січня 2015 р.,  у тому числі дітей:|8726
дошкільного віку|227|
шкільного віку|790|
2.|Кількість населення пунктів, що входять до спроможної територіальної громади, од.|27
3.|Обсяг доходів (розрахунковий) спроможної територіальної громади, гривень|7711790
|у тому числі:|
|сформованих відповідно до статті 64 Бюджетного кодексу України|5422690
|бюджет розвитку|-
|базової дотації|2289100
|реверсної дотації|-
|4. Площа території спроможної територіальної громади, кв. кілометрів|102347
5.|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування:|76
загальноосвітніх навчальних закладів І-ІІІ ступеня||
загальноосвітніх навчальних закладів І-ІІ ступеня|6|
загальноосвітніх навчальних закладів І-І ступеня|6|
дошкільних навчальних закладів||
закладів позашкільної освіти|10|
закладів культури||
закладів фізичної культури|34|
фельдшерсько-акушерський пунктів|1|
амбулаторії, поліклініки|18|
лікарні|1|
станцій швидкої допомоги||
6.|Наявність приміщень для розміщення державних органів, установ, що здійснюють повноваження щодо:|
правоохоронної діяльності||
реєстрації актів цивільного стану та майнових прав|в наявності|
пенсійного забезпечення|в наявності|
соціального захисту|в наявності|
пожежної безпеки|в наявності|
казначейського обслуговування|в наявності|
|7. Наявність приміщень для розміщення органів місцевого самоврядування|в наявності
