name|Кам’яномостівська територіальна громада 
region|Миколаївська область
id|id306
link|http://decentralization.gov.ua/region/common/id/1289
0|1|2|3
село|Громади|Бюджети|Водопостачання
Кам’яний Міст|Кам’яномостівська територіальна громада||
Катеринка|Кам’яномостівська територіальна громада||
Коломіївка|Кам’яномостівська територіальна громада||
Кримка|Кам’яномостівська територіальна громада||
Петрівка|Кам’яномостівська територіальна громада||
